C,Si,Mn,P,S,Al,V,Nb,Ti,a_temp,r
0.02,0.506,1.949,0.03,0.001,0.031,0.102,0.035,0,846,1.9
0.022,0.564,1.933,0.028,0.001,0.032,0.113,0.048,0,852,1.9
0.027,0.293,1.692,0.01,0.005,0.027,0.077,0.019,0.047,851,1.8
0.027,0.341,1.758,0.009,0.004,0.027,0.091,0.025,0.043,844,1.8
0.027,0.296,1.699,0.01,0.004,0.028,0.082,0.032,0.035,850,1.8
0.011,0.249,1.438,0.011,0.003,0.028,0,0.027,0,829,1.9
0.012,0.215,1.507,0.006,0.002,0.027,0.039,0.032,0,827,1.9
0.01,0.199,1.555,0.013,0.003,0.028,0.019,0.006,0.01,830,1.9
0.021,0.534,1.596,0.009,0.002,0.033,0.124,0,0.025,825,1.8
0.023,0.544,1.548,0.009,0.001,0.033,0.133,0.004,0.022,831,1.8
0.024,0.506,1.558,0.009,0.001,0.033,0.147,0,0.022,836,1.8
0.021,0.546,1.542,0.046,0,0.031,0.124,0,0.01,826,1.7
0.016,0.518,1.449,0.052,0,0.032,0.108,0,0,827,1.7
0.017,0.585,1.442,0.051,0.001,0.032,0.121,0.01,0.002,828,1.7
0.019,0.34,1.536,0.061,0.003,0.03,0.128,0,0.007,829,1.7
0.021,0.352,1.734,0.058,0.002,0.029,0.125,0.003,0,828,1.7
0.018,0.379,1.709,0.058,0.003,0.03,0.108,0.009,0,831,1.7
0.022,0.414,2.054,0.018,0.001,0.029,0.052,0.057,0.02,832,1.8
0.019,0.496,1.992,0.021,0.001,0.029,0.079,0.058,0.017,830,1.8
0.017,0.368,2.06,0.016,0.002,0.028,0.086,0.048,0.018,831,1.8
0.006,0.403,1.712,0.01,0.005,0.028,0.069,0,0.004,830,1.9
0.008,0.317,1.732,0.01,0.004,0.029,0.074,0.015,0.001,834,1.9
0.007,0.348,1.822,0.011,0.004,0.029,0.06,0,0,828,1.9
0.113,0.372,1.738,0.012,0.003,0.028,0.343,0.012,0,827,0.8
0.113,0.373,1.711,0.009,0.002,0.028,0.359,0.013,0,827,0.8
0.111,0.342,1.795,0.009,0.003,0.028,0.365,0.004,0.001,830,0.8
0.02,0.518,1.594,0.009,0.001,0.033,0.003,0,0.004,846,0.8
0.021,0.549,1.49,0.01,0.001,0.032,0.019,0.01,0.007,847,0.8
0.018,0.519,1.583,0.01,0.001,0.032,0.005,0.007,0.001,852,0.8
0.021,0.549,1.453,0.049,0.001,0.031,0.623,0.018,0.009,846,1.7
0.022,0.526,1.427,0.048,0,0.031,0.616,0.004,0,850,1.7
0.023,0.537,1.445,0.049,0.001,0.031,0.624,0.019,0,853,1.7
0.021,0.33,1.686,0.062,0.003,0.03,0.05,0,0,849,1.7
0.02,0.344,1.597,0.06,0.003,0.03,0.051,0.008,0.01,851,1.7
0.021,0.316,1.701,0.061,0.003,0.03,0.042,0,0.01,846,1.7
0.026,0.394,1.793,0.04,0.002,0.029,0.048,0.318,0,846,1.8
0.025,0.411,1.736,0.037,0.001,0.029,0.011,0.316,0.01,848,1.8
0.023,0.412,1.743,0.04,0.002,0.029,0.042,0.318,0.01,851,1.8
0.019,0.353,1.746,0.047,0,0.031,0.05,0,0.001,831,1.7
0.018,0.348,1.789,0.049,0.001,0.031,0.051,0.003,0.003,828,1.7
0.019,0.337,1.867,0.05,0.001,0.032,0.056,0.016,0.003,836,1.7
0.024,0.295,1.759,0.06,0.003,0.029,0.028,0.005,0.296,848,1.8
0.024,0.307,1.689,0.059,0.002,0.03,0.019,0,0.31,856,1.8
0.022,0.321,1.748,0.057,0.002,0.029,0.033,0.012,0.309,846,1.8
0.015,0.017,1.478,0.01,0.002,0.032,0.044,0.003,0,830,0.8
0.017,0.009,1.469,0.011,0.002,0.031,0.033,0.01,0.001,825,0.8
0.02,0.02,1.524,0.008,0.003,0.031,0.04,0.01,0,829,0.8
0.021,0.02,1.675,0.009,0.004,0.032,0.314,0,0.001,829,1.7
0.022,0.006,1.715,0.009,0.003,0.032,0.319,0.005,0.01,829,1.7
0.019,0.068,1.636,0.009,0.003,0.032,0.315,0,0.002,830,1.7
0.038,0.49,2.884,0.011,0.005,0.03,0.143,0,0.007,775,1.1
0.036,0.475,2.886,0.01,0.004,0.031,0.148,0.007,0,779,1.1
0.041,0.51,2.863,0.011,0.005,0.031,0.141,0.01,0.001,785,1.1
0.036,0.762,2.58,0.011,0,0.034,0.088,0.107,0,784,1.3
0.038,0.752,2.536,0.007,0.001,0.034,0.09,0.123,0,781,1.3
0.038,0.772,2.485,0.009,0,0.034,0.095,0.134,0.002,775,1.3
0.044,0.759,2.524,0.007,0.006,0.032,0.106,0.103,0.162,753,1.3
0.042,0.788,2.588,0.009,0.006,0.032,0.102,0.108,0.153,751,1.3
0.041,0.752,2.524,0.009,0.006,0.033,0.078,0.101,0.16,748,1.3
0.039,0.711,2.539,0.009,0.007,0.031,0.078,0.002,0.058,762,1.2
0.043,0.722,2.501,0.009,0.007,0.031,0.055,0.017,0.066,758,1.2
0.041,0.727,2.522,0.007,0.007,0.032,0.099,0.01,0.065,762,1.2
0.046,0.751,2.455,0.01,0.004,0.034,0.158,0.194,0.008,772,1.3
0.046,0.715,2.558,0.011,0.005,0.033,0.138,0.213,0.007,767,1.3
0.048,0.758,2.496,0.009,0.005,0.034,0.148,0.189,0.018,768,1.3
0.041,0.772,2.525,0.009,0.006,0.036,0.489,0.189,0.256,776,1.4
0.04,0.825,2.543,0.011,0.007,0.035,0.506,0.19,0.259,778,1.4
0.039,0.737,2.548,0.007,0.006,0.035,0.537,0.175,0.266,778,1.4
0.036,0.747,2.58,0.008,0.006,0.032,0.029,0.01,0.007,777,0.7
0.04,0.73,2.597,0.008,0.006,0.032,0.036,0.005,0.004,779,0.7
0.039,0.736,2.608,0.01,0.005,0.032,0.061,0.018,0.013,774,0.7
0.042,0.971,2.947,0.049,0.005,0.031,0.075,0.023,0.122,759,1.3
0.045,0.94,2.94,0.051,0.004,0.032,0.089,0.01,0.129,758,1.3
0.044,0.968,2.928,0.049,0.004,0.032,0.092,0.011,0.121,758,1.3
0.043,0.867,2.651,0.04,0.008,0.035,0.12,0.047,0.039,778,1.1
0.042,0.869,2.834,0.043,0.008,0.035,0.139,0.043,0.044,775,1.1
0.042,0.783,2.751,0.04,0.009,0.035,0.135,0.039,0.049,776,1.1
0.046,0.912,2.726,0.038,0.005,0.036,0.021,0.197,0.151,779,1.4
0.046,0.93,2.736,0.04,0.005,0.036,0.029,0.201,0.166,781,1.4
0.05,0.938,2.816,0.039,0.005,0.036,0.032,0.179,0.15,777,1.4
0.042,0.828,2.631,0.04,0.008,0.035,0.017,0,0,760,0.8
0.039,0.863,2.742,0.041,0.008,0.034,6.55E+00,0,0.011,762,0.8
0.043,0.802,2.707,0.04,0.008,0.034,0.02,0.001,0,757,0.8
0.037,0.913,2.807,0.039,0.006,0.035,0.522,0,0,779,1.3
0.038,0.949,2.79,0.036,0.006,0.035,0.55,0.01,0.002,780,1.3
0.037,0.875,2.723,0.042,0.006,0.036,0.538,0.012,0.01,782,1.3
0.04,0.798,2.639,0.029,0,0.033,0.079,0.016,0,780,1.1
0.039,0.77,2.557,0.03,0,0.033,0.082,0,0,777,1.1
0.038,0.758,2.506,0.03,0.001,0.034,0.063,0.025,0.004,786,1.1
0.037,0.804,2.479,0.027,0.001,0.034,0.022,0.053,0,758,1.3
0.039,0.787,2.569,0.027,0.001,0.035,0.033,0.076,0,761,1.3
0.041,0.759,2.498,0.032,0,0.035,0,0.061,0.003,757,1.3
0.043,0.719,2.531,0.029,0.001,0.036,0.096,0.371,0.001,780,1.3
0.04,0.73,2.587,0.03,0,0.035,0.086,0.387,0,778,1.3
0.042,0.702,2.501,0.029,0.001,0.035,0.085,0.368,0,778,1.3
0.042,0.784,2.388,0.031,0,0.035,0.102,0.462,0.007,779,1.3
0.042,0.771,2.513,0.033,0.001,0.035,0.08,0.469,0,780,1.3
0.042,0.717,2.56,0.03,0,0.034,0.087,0.465,0,776,1.3
0.039,0.681,2.529,0.028,0.002,0.031,0.106,0,0.003,762,1.1
0.041,0.676,2.528,0.03,0.001,0.031,0.093,0,0,762,1.1
0.039,0.711,2.564,0.03,0.001,0.032,0.1,0.001,0,757,1.1
0.035,0.679,2.515,0.028,0.002,0.029,0.031,0,0.025,761,1.3
0.036,0.705,2.583,0.03,0.002,0.029,0.029,0.003,0.021,759,1.3
0.037,0.753,2.5,0.03,0.002,0.03,0.005,0,0.04,758,1.3
0.041,0.737,2.433,0.039,0.002,0.03,0.056,4.42E+00,0.179,784,1.3
0.038,0.739,2.609,0.04,0.002,0.03,0.059,0.016,0.176,776,1.3
0.042,0.738,2.559,0.039,0.001,0.029,0.084,0,0.186,780,1.3
0.037,0.701,2.528,0.019,0.002,0.028,0.096,0,0.359,775,1.4
0.039,0.696,2.508,0.019,0.002,0.028,0.083,0.002,0.36,780,1.4
