C,P,S,Al,Nb,Ti,ceq,a_temp,r
0.041,0.009,0.006,0.036,0.189,0.256,0.6883,776,1.4
0.04,0.011,0.007,0.035,0.19,0.259,0.702533333,778,1.4
0.039,0.007,0.006,0.035,0.175,0.266,0.6939,778,1.4
0.036,0.008,0.006,0.032,0.01,0.007,0.5963,777,0.7
0.04,0.008,0.006,0.032,0.005,0.004,0.6017,779,0.7
0.039,0.01,0.005,0.032,0.018,0.013,0.608533333,774,0.7
0.042,0.049,0.005,0.031,0.023,0.122,0.71,759,1.3
0.045,0.051,0.004,0.032,0.01,0.129,0.709466667,758,1.3
0.044,0.049,0.004,0.032,0.011,0.121,0.711733333,758,1.3
0.043,0.04,0.008,0.035,0.047,0.039,0.653333333,778,1.1
0.042,0.043,0.008,0.035,0.043,0.044,0.686966667,775,1.1
0.042,0.04,0.009,0.035,0.039,0.049,0.658,776,1.1
0.046,0.038,0.005,0.036,0.197,0.151,0.656533333,779,1.4
0.046,0.04,0.005,0.036,0.201,0.166,0.6628,781,1.4
0.05,0.039,0.005,0.036,0.179,0.15,0.682066667,777,1.4
0.042,0.04,0.008,0.035,0,0,0.6219,760,0.8
0.039,0.041,0.008,0.034,0,0.011,1.949833333,762,0.8
0.043,0.04,0.008,0.034,0.001,0,0.631833333,757,0.8
0.037,0.039,0.006,0.035,0,0,0.7614,779,1.3
0.038,0.036,0.006,0.035,0.01,0.002,0.771166667,780,1.3
0.037,0.042,0.006,0.036,0.012,0.01,0.744266667,782,1.3
0.04,0.029,0,0.033,0.016,0,0.628633333,780,1.1
0.039,0.03,0,0.033,0,0,0.6099,777,1.1
0.038,0.03,0.001,0.034,0.025,0.004,0.5946,786,1.1
0.037,0.027,0.001,0.034,0.053,0,0.588566667,758,1.3
0.039,0.027,0.001,0.035,0.076,0,0.604933333,761,1.3
0.041,0.032,0,0.035,0.061,0.003,0.583833333,757,1.3
0.043,0.029,0.001,0.036,0.371,0.001,0.603866667,780,1.3
0.04,0.03,0,0.035,0.387,0,0.610033333,778,1.3
0.042,0.029,0.001,0.035,0.368,0,0.592833333,778,1.3
0.042,0.031,0,0.035,0.462,0.007,0.591066667,779,1.3
0.042,0.033,0.001,0.035,0.469,0,0.605333333,780,1.3
0.042,0.03,0,0.034,0.465,0,0.605566667,776,1.3
0.039,0.028,0.002,0.031,0,0.003,0.5952,762,1.1
0.041,0.03,0.001,0.031,0,0,0.5936,762,1.1
0.039,0.03,0.001,0.032,0.001,0,0.604833333,757,1.1
0.035,0.028,0.002,0.029,0,0.025,0.573533333,761,1.3
0.036,0.03,0.002,0.029,0.003,0.021,0.5898,759,1.3
0.037,0.03,0.002,0.03,0,0.04,0.580166667,758,1.3
0.041,0.039,0.002,0.03,4.42E+00,0.179,0.580533333,784,1.3
0.038,0.04,0.002,0.03,0.016,0.176,0.6078,776,1.3
0.042,0.039,0.001,0.029,0,0.186,0.6083,780,1.3
0.037,0.019,0.002,0.028,0,0.359,0.594366667,775,1.4
0.039,0.019,0.002,0.028,0.002,0.36,0.5896,780,1.4
0.041,0.019,0.001,0.028,0.016,0.365,0.581066667,780,1.4
0.027,0.012,0.002,0.034,0.008,0.002,0.301166667,827,1.7
0.027,0.01,0.003,0.034,0,0,0.313733333,832,1.7
0.026,0.011,0.002,0.034,0,0.01,0.3032,828,1.7
0.027,0.01,0.002,0.035,0.051,0.003,0.3019,832,1.7
0.029,0.01,0.002,0.034,0.054,0.004,0.2922,829,1.7
0.025,0.009,0.002,0.035,0.042,0,0.291266667,831,1.7
0.032,0.008,0.004,0.027,0.058,0.024,0.323166667,822,1.7
0.03,0.009,0.005,0.028,0.026,0.037,0.321366667,829,1.7
0.031,0.01,0.004,0.028,0.027,0.047,0.338033333,826,1.7
0.02,0.011,0.005,0.033,0.01,0.012,0.305,831,1.4
0.022,0.009,0.004,0.033,0.007,0,0.309466667,829,1.4
0.021,0.006,0.005,0.034,0.01,0,0.305933333,829,1.4
0.029,0.009,0.004,0.032,0.018,0.017,0.308933333,826,1.6
0.03,0.008,0.004,0.033,0.063,0,0.3143,829,1.6
0.034,0.009,0.004,0.033,0.053,0.002,0.312333333,827,1.6
0.025,0.011,0.002,0.035,0.112,0.124,0.295933333,827,1.7
0.025,0.01,0.002,0.034,0.099,0.128,0.2964,838,1.7
0.023,0.009,0.003,0.034,0.088,0.129,0.3123,830,1.7
0.029,0.014,0.004,0.032,0,0,0.317366667,825,0.8
0.033,0.011,0.005,0.032,0.002,0,0.300433333,828,0.8
0.028,0.007,0.005,0.032,0,0.01,0.305433333,828,0.8
0.021,0.058,0.003,0.029,0.013,0,0.4089,851,1.8
0.018,0.061,0.002,0.03,0.001,0.011,0.4174,848,1.8
0.021,0.058,0.002,0.029,0.02,0.01,0.425366667,850,1.8
0.022,0.04,0,0.032,0.003,0.004,0.453533333,854,1.8
0.023,0.04,0.001,0.032,0.037,0.001,0.4549,852,1.8
0.024,0.04,0,0.031,0.033,0.006,0.4463,848,1.8
0.025,0.01,0.003,0.025,0.02,0.035,0.3825,846,1.7
0.028,0.007,0.003,0.025,0.04,0.02,0.375266667,855,1.7
0.023,0.012,0.004,0.025,0.031,0.042,0.3673,849,1.7
0.021,0.011,0.002,0.028,0.048,0,0.4158,828,1.6
0.021,0.013,0.002,0.027,0.05,0,0.4161,833,1.6
0.017,0.006,0.002,0.028,0.065,0.013,0.392333333,839,1.6
0.011,0.011,0.002,0.033,0.009,0.018,0.3171,828,1.7
0.01,0.01,0.002,0.032,0,0.008,0.317733333,832,1.7
